# Wavelengths	Intensities
 394.10065	1511.40094
 394.30780	1517.54484
 394.51495	1445.86594
 394.72208	1452.00984
 394.92920	1511.40094
 395.13630	1478.63344
 395.34340	1495.01719
 395.55048	1490.92125
 395.75756	1423.33828
 395.96462	1464.29766
 396.17167	1474.53750
 396.37871	1468.39359
 396.58573	1509.35297
 396.79275	1550.31234
 396.99975	1490.92125
 397.20675	1449.96187
 397.41373	1533.92859
 397.62070	1509.35297
 397.82766	1497.06516
 398.03460	1468.39359
 398.24154	1513.44891
 398.44846	1435.62609
 398.65538	1574.88797
 398.86228	1447.91391
 399.06917	1492.96922
 399.27605	1509.35297
 399.48291	1505.25703
 399.68977	1540.07250
 399.89661	1495.01719
 400.10344	1492.96922
 400.31026	1556.45625
 400.51707	1495.01719
 400.72387	1439.72203
 400.93066	1581.03187
 401.13743	1591.27172
 401.34419	1587.17578
 401.55095	1572.84000
 401.75769	1478.63344
 401.96441	1533.92859
 402.17113	1525.73672
 402.37784	1511.40094
 402.58453	1538.02453
 402.79121	1531.88063
 402.99788	1515.49688
 403.20454	1554.40828
 403.41119	1468.39359
 403.61783	1544.16844
 403.82445	1531.88063
 404.03107	1499.11313
 404.23767	1525.73672
 404.44426	1525.73672
 404.65084	1544.16844
 404.85740	1550.31234
 405.06396	1583.07984
 405.27050	1531.88063
 405.47703	1552.36031
 405.68356	1585.12781
 405.89006	1519.59281
 406.09656	1531.88063
 406.30305	1482.72937
 406.50952	1568.74406
 406.71599	1503.20906
 406.92244	1540.07250
 407.12888	1546.21641
 407.33530	1566.69609
 407.54172	1552.36031
 407.74813	1566.69609
 407.95452	1527.78469
 408.16090	1628.13516
 408.36727	1488.87328
 408.57363	1517.54484
 408.77998	1535.97656
 408.98631	1482.72937
 409.19264	1591.27172
 409.39895	1544.16844
 409.60525	1535.97656
 409.81154	1538.02453
 410.01781	1556.45625
 410.22408	1546.21641
 410.43033	1529.83266
 410.63658	1556.45625
 410.84281	1568.74406
 411.04903	1617.89531
 411.25523	1601.51156
 411.46143	1550.31234
 411.66761	1601.51156
 411.87379	1523.68875
 412.07995	1531.88063
 412.28610	1605.60750
 412.49223	1570.79203
 412.69836	1533.92859
 412.90447	1572.84000
 413.11058	1501.16109
 413.31667	1578.98391
 413.52275	1531.88063
 413.72881	1587.17578
 413.93487	1548.26437
 414.14091	1638.37500
 414.34695	1548.26437
 414.55297	1605.60750
 414.75898	1558.50422
 414.96497	1552.36031
 415.17096	1562.60016
 415.37693	1548.26437
 415.58290	1634.27906
 415.78885	1521.64078
 415.99479	1587.17578
 416.20071	1515.49688
 416.40663	1593.31969
 416.61253	1544.16844
 416.81843	1601.51156
 417.02431	1593.31969
 417.23018	1552.36031
 417.43603	1540.07250
 417.64188	1548.26437
 417.84771	1556.45625
 418.05353	1630.18313
 418.25935	1578.98391
 418.46514	1544.16844
 418.67093	1542.12047
 418.87671	1560.55219
 419.08247	1513.44891
 419.28822	1593.31969
 419.49396	1542.12047
 419.69969	1535.97656
 419.90541	1560.55219
 420.11111	1607.65547
 420.31680	1535.97656
 420.52248	1560.55219
 420.72815	1597.41563
 420.93381	1640.42297
 421.13946	1538.02453
 421.34509	1529.83266
 421.55071	1638.37500
 421.75633	1587.17578
 421.96192	1570.79203
 422.16751	1601.51156
 422.37309	1587.17578
 422.57865	1531.88063
 422.78420	1574.88797
 422.98974	1521.64078
 423.19527	1591.27172
 423.40079	1552.36031
 423.60629	1556.45625
