Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
 Na,915.388,1,0.0053,8,6,4.971,3.617,1.26E-08,1.07E-08
 Na,432.4615,1,0.00684,6,4,4.971,2.104,1.22E-08,1.03E-08
 Na,915.3904,1,0.0049,6,4,4.971,3.617,8.73E-09,7.39E-09
 Na,894.296,1,0.00371,8,6,5.003,3.617,8.23E-09,7.01E-09
 Na,427.6787,1,0.00469,6,4,5.003,2.104,7.81E-09,6.65E-09
 Na,466.85595,1,0.00414,4,4,4.759,2.104,7.80E-09,6.31E-09
 Na,432.1401,1,0.005503,4,2,4.971,2.102,6.54E-09,5.53E-09
 Na,474.7941,1,0.00619,2,2,4.713,2.102,6.47E-09,5.17E-09
 Na,454.5186,1,0.0075,2,4,4.831,2.104,6.03E-09,4.96E-09
 Na,894.29895,1,0.00346,6,4,5.003,3.617,5.76E-09,4.90E-09
 Na,879.31196,1,0.00229,6,4,5.027,3.617,3.62E-09,3.10E-09
 Na,454.1633,1,0.00376,2,2,4.831,2.102,3.02E-09,2.49E-09
 Na,423.8987,1,0.002866,4,2,5.027,2.102,3.02E-09,2.58E-09
 Na,419.598,1,0.00196,6,4,5.058,2.104,2.90E-09,2.49E-09
 Na,865.089,1,0.00221,2,2,4.624,3.191,2.82E-09,2.20E-09
 Na,973.6787,1,0.00169,6,4,5.026,3.753,2.67E-09,2.29E-09
 Na,439.334,1,0.00195,4,4,4.926,2.104,2.56E-09,2.14E-09
 Na,268.0421,1,0.00181,2,2,4.624,0,2.31E-09,1.80E-09
 Na,418.022,1,0.00155,6,4,5.07,2.104,2.24E-09,1.93E-09
 Na,421.3001,1,0.002102,4,2,5.045,2.102,2.13E-09,1.83E-09
 Na,991.6019,1,0.00192,4,2,5.003,3.753,2.13E-09,1.81E-09
 Na,434.1489,1,0.00326,2,2,4.957,2.102,2.00E-09,1.68E-09
 Na,960.0813,1,0.00128,6,4,5.044,3.753,1.95E-09,1.67E-09
 Na,441.9885,1,0.00282,2,2,4.907,2.102,1.93E-09,1.61E-09
 Na,996.128,1,0.000845,6,6,4.861,3.617,1.91E-09,1.58E-09
 Na,780.978,1,0.000991,4,2,4.778,3.191,1.79E-09,1.46E-09
 Na,416.767,1,0.00125,6,4,5.078,2.104,1.77E-09,1.53E-09
 Na,973.1487,1,0.00141,4,2,5.026,3.753,1.49E-09,1.27E-09
 Na,949.7624,1,0.001,6,4,5.058,3.753,1.48E-09,1.27E-09
 Na,259.383,1,0.000813,4,2,4.778,0,1.47E-09,1.19E-09
 Na,415.74,1,0.00103,6,4,5.086,2.104,1.44E-09,1.24E-09
 Na,429.1006,1,0.00247,2,4,4.993,2.104,1.40E-09,1.19E-09
 Na,432.4615,1,0.00114,4,4,4.971,2.104,1.36E-09,1.15E-09
 Na,946.594,1,0.000638,6,6,4.926,3.617,1.25E-09,1.05E-09
 Na,414.893,1,0.000852,6,4,5.092,2.104,1.17E-09,1.01E-09
 Na,959.5661,1,0.00107,4,2,5.044,3.753,1.09E-09,9.31E-10
 Na,425.252,1,0.00184,2,4,5.019,2.104,9.86E-10,8.41E-10
 Na,414.184,1,0.000672,6,4,5.097,2.104,9.15E-10,7.91E-10
 Na,781.024,1,0.000972,2,2,4.778,3.191,8.79E-10,7.14E-10
 Na,427.6787,1,0.00078,4,4,5.003,2.104,8.66E-10,7.37E-10
